Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
APLICAÇÃO SPINRAZA	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
BIOPSIA	 57.160,37 	 114.755,23 	 30.995,47 	 68.831,36 	 3.501,48 	 6.694,36 	 91.657,33 	 190.280,95 	 221.276,42 
BIOPSIA + ELETROCAUTERIZAÇÃO	 409,48 	 1.028,77 	 271,03 	 491,96 			 680,52 	 1.520,74 	 1.791,77 
BIÓPSIA + ELETROCAUTERIZAÇÃO	 273,03 	 993,15 	 1.196,75 	 2.353,07 			 1.469,78 	 3.346,22 	 4.542,97 
BIOPSIA + PUNÇÃO PLEURAL  + BIOPSIA DE LINFONODO					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
BLASTOMA CUTANEO DE ORELHA ESQUERDA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
BLEFAROPLASTIA	 4.647,88 	 9.830,07 	 2.079,89 	 5.519,95 			 6.727,77 	 15.350,02 	 17.429,91 
BLEFAROPLASTIA + ENXERTO FACIAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
BÓCIO NODULAR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
BRONCOFIBROSCOPIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
BRONCOSCOPIA	 9.858,42 	 19.017,15 	 5.875,79 	 12.695,77 	 6.221,95 	 14.430,00 	 21.956,16 	 46.142,93 	 52.018,71 
BRONCOSCOPIA 	 680,52 	 1.520,74 	 272,97 	 532,20 			 953,49 	 2.052,93 	 2.325,90 
BULECTOMIA PULMONAR DIREITA 	 272,97 	 532,20 			 272,97 	 532,20 	 545,94 	 1.064,39 	 1.064,39 
BYPASS FEMORO-TIBIAL	 272,97 	 532,20 			 272,97 	 532,20 	 545,94 	 1.064,39 	 1.064,39 
CALCULO DE BEXIGA	 451,73 	 615,99 	 498,83 	 840,19 	 451,73 	 615,99 	 1.402,29 	 2.072,18 	 2.571,01 
CALICOURETEROPLASTIA DIREITA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
CANTOPLASTIA	 2.946,98 	 5.694,72 	 2.429,75 	 4.539,18 	 545,94 	 1.064,39 	 5.922,66 	 11.298,29 	 13.728,04 
CARCINOMA DE MAMA + MASTECTOMIA RADICAL	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
CARDIOMIOTOMIA COM FUNDOPLICATURA 			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
CARÚNCULA  URETRAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
CASTRECTOMIA TOTAL	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
CAUTERIZAÇÃO	 1.084,13 	 1.967,86 	 2.490,04 	 4.759,13 			 3.574,18 	 6.726,99 	 9.217,03 
CIRURGIA DE ALTA FREQUENCIA	 3.934,94 	 11.740,82 	 2.980,20 	 7.496,22 			 6.915,14 	 19.237,04 	 22.217,24 
CIRURGIA ENDOSCÓPICA ENDONASAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
CISTO PILONIDAL + HÉRNIA UMBILICAL 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
CISTOCELE	 484,80 	 1.218,38 					 484,80 	 1.218,38 	 1.218,38 
CISTOENTEROPLASTIA	 537,05 	 1.408,15 					 537,05 	 1.408,15 	 1.408,15 
CISTOENTEROPLASTIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
CISTOLITOTOMIA	 2.394,94 	 4.580,38 	 626,38 	 1.151,03 	 225,86 	 308,00 	 3.247,18 	 6.039,40 	 6.665,78 
CISTORRAFIA	 312,20 	 1.231,02 					 312,20 	 1.231,02 	 1.231,02 
CISTOSCOPIA	 2.944,30 	 6.752,85 	 545,94 	 1.064,39 			 3.490,24 	 7.817,24 	 8.363,18 
CISTOSCOPIA + RETIRADA DUPLO J			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
CISTOSCOPIA +VULPE	 1.628,15 	 2.380,18 					 1.628,15 	 2.380,18 	 2.380,18 
CISTOSCOPIA DIAGNÓSTICA - CÓD 3	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
CISTOSCOPIA E URETEROSCOPIA COM VÍDEO ASSISTIDA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
CISTOSTOMIA	 1.841,91 	 3.718,44 	 225,86 	 308,00 			 2.067,77 	 4.026,44 	 4.252,30 
COELTA DE MATERIAL  P/ CULTURA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
COLANGIO PACREATOGRAFIA RETROGADA ENDOSCOPICA	 136,52 	 496,58 	 409,55 	 1.489,73 			 546,07 	 1.986,30 	 2.395,85 
COLANGIOGRAFIA	 272,97 	 532,20 	 225,86 	 308,00 			 498,83 	 840,19 	 1.066,06 
COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA TERAPEUTICA	 1.271,02 	 4.117,12 	 211,84 	 686,19 			 1.482,85 	 4.803,31 	 5.015,15 
COLANGIOPANCREATOGRAFIA RETRÓGRADA ENDOSCÓPICA TERAPÊUTICA	 847,34 	 2.744,75 					 847,34 	 2.744,75 	 2.744,75 
COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA TERAPEUTICA 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
COLECISTECOMIA VIDEOLAPAROSCÓPICA	 903,45 	 1.231,99 					 903,45 	 1.231,99 	 1.231,99 
COLECISTECTOMIA	 165.443,91 	 338.874,36 	 44.483,17 	 98.815,78 	 11.977,01 	 22.184,49 	 221.904,09 	 459.874,63 	 504.357,80 
COLECISTECTOMIA  + ESPLENECTOMIA	 225,86 	 308,00 	 225,86 	 308,00 	 225,86 	 308,00 	 677,59 	 923,99 	 1.149,86 
COLECISTECTOMIA + CISTO OVARIANO VDLP	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
COLECISTECTOMIA + COLEDOCOTOMIA VLP + COLANGIO INTRAOP	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
COLECISTECTOMIA + DERIVAÇÃO CISTO-COLEDOCO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
COLECISTECTOMIA + EXPLORAÇÃO DE VIA BILIAR	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
COLECISTECTOMIA POR VIDEO COM COLEDOCOTOMIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
COLECISTECTOMIA POR VIDEOLAPAROSCOPIA + EXPLORACAO DE VIA BILIAR + COLANGIOGRAFIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
COLECISTECTOMIA VÍDEO + COLANGIOGRAFIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
COLECISTECTOMIA VLP + LISE DE ADERÊNCIA 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
COLECTOMIA	 9.918,66 	 19.805,47 	 953,49 	 2.052,93 	 818,90 	 1.596,59 	 11.691,05 	 23.454,99 	 24.408,48 
COLECTOMIA DIREITA VÍDEO LAPAROSCÓPICA + COLECISTECTOMIA	 409,55 	 1.489,73 					 409,55 	 1.489,73 	 1.489,73 
COLEDOCOTOMIA C/ OU S/ COLECISTECTOMIA	 777,08 	 1.991,21 					 777,08 	 1.991,21 	 1.991,21 
COLEDOCOTOMIA COM COLECISTECTOMIA+EXPLORAÇÃO DE VIAS BILIARES	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
COLEDOCOTOMIA COM COLECISTECTOMIA+EXPLORAÇÃO DE VIAS BILIARES + PAPILOTOMIA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
COLOCAÇÃO DE DIU	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
COLOCAÇÃO DE SONDA NOSOENTERAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
COLONOSCOPIA	 5.676,81 	 11.368,53 	 3.105,80 	 7.143,69 	 1.134,18 	 2.176,96 	 9.916,79 	 20.689,18 	 23.794,98 
COLONOSCOPIA + ENDOSCOPIA DIGESTIVA ALTA			 895,48 	 1.602,76 			 895,48 	 1.602,76 	 2.498,24 
COLOSTOMIA	 2.871,69 	 7.080,93 	 312,20 	 1.231,02 			 3.183,89 	 8.311,95 	 8.624,14 
COLOSTOMIA + BIÓPSIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
COLPOPERINEOPLASTIA	 9.803,48 	 21.460,29 	 3.381,02 	 7.722,64 	 225,86 	 308,00 	 13.410,37 	 29.490,93 	 32.871,95 
CONFECÇÃO DE GTT 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
CORDECTOMIA			 545,94 	 1.064,39 			 545,94 	 1.064,39 	 1.610,33 
CORREÇÃO  DE FISTULA NASAL 	 407,55 	 988,54 					 407,55 	 988,54 	 988,54 
CORREÇÃO CIRÚRGICA	 1.996,32 	 3.917,29 	 362,38 	 804,57 			 2.358,70 	 4.721,86 	 5.084,24 
CORREÇÃO DE CURVATURA PENIANA	 1.176,42 	 1.764,19 	 677,59 	 923,99 			 1.854,01 	 2.688,18 	 3.365,77 
CORREÇÃO DE DERMATOCALASIA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
CORREÇÃO DE GINECOMASTIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
CORREÇÃO DE HERNIA DIAFRAGMATICA 	 1.588,77 	 2.928,75 	 272,97 	 532,20 			 1.861,74 	 3.460,94 	 3.733,91 
CORREÇÃO DE HÉRNIA PARACOLOSTÔMICA 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
CORREÇÃO DE HIDROCELE	 489,93 	 1.115,41 	 362,38 	 804,57 			 852,31 	 1.919,98 	 2.282,36 
CORREÇÃO DE HIPOSPADIA 	 25.919,39 	 60.835,81 	 8.552,40 	 21.041,03 	 1.585,97 	 3.253,91 	 36.057,76 	 85.130,75 	 93.683,15 
CORREÇÃO DE LESÃO DE MANGUITO ROTADOR			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
CORREÇÃO DE LÓBULO	 2.154,28 	 3.493,81 	 1.492,63 	 2.440,12 	 545,94 	 1.064,39 	 4.192,84 	 6.998,32 	 8.490,95 
CORREÇÃO DE SINDACTILIA 	 813,10 	 1.475,89 	 635,35 	 1.336,77 			 1.448,45 	 2.812,66 	 3.448,01 
CPRE	 15.342,89 	 30.705,80 	 4.135,76 	 8.418,56 	 818,97 	 2.057,54 	 20.297,62 	 41.181,90 	 45.317,66 
CROSSECTOMIA + EXÉRESE DE VARIZES EM MID	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
CVL COM COLANGIO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
DACRIOCISTORRINOSTOMIA	 2.735,59 	 5.462,50 	 325,21 	 721,96 			 3.060,80 	 6.184,46 	 6.509,67 
DECORTICAÇÃO PULMONAR					 498,83 	 840,19 	 498,83 	 840,19 	 840,19 
DERIVAÇÃO BILEO-DIGESTIVA	 2.434,17 	 4.756,89 	 1.175,48 	 2.280,47 	 225,86 	 308,00 	 3.835,51 	 7.345,36 	 8.520,84 
DERIVAÇÃO BILIODIGESTIVA + BIÓPSIA	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
DERIVAÇÃO LOMBO PERINEAL 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
DERMATOCALASIA	 546,00 	 1.525,35 			 272,97 	 532,20 	 818,97 	 2.057,54 	 2.057,54 
DERMOLIPECTOMIA	 4.616,64 	 11.284,26 	 1.035,88 	 2.248,34 	 225,86 	 308,00 	 5.878,38 	 13.840,60 	 14.876,48 
DERRAME PLEURAL E	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
DESARTICULAÇÃO	 272,97 	 532,20 	 225,86 	 308,00 			 498,83 	 840,19 	 1.066,06 
DESCOMPRESSAO DO TUNEL OSTEO-FIBROSO DO CARPO ESQUERDO			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
DESCONEXÃO ÁZIGO-PORTAL - DAPE	 3.079,46 	 5.328,63 	 3.539,19 	 5.667,45 	 225,86 	 308,00 	 6.844,52 	 11.304,08 	 14.843,28 
DESCONEXÃO AZIGOPORTAL + ESPLENECTOMIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
DESCONEXAO AZIGO-PORTAL E ESPLENECTOMIA	 542,07 	 983,93 	 271,03 	 491,96 			 813,10 	 1.475,89 	 1.746,93 
DESCONEXÃO DE FAV	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
DESCORTICAÇÃO  PULMANAR 	 348,35 	 1.182,76 	 757,84 	 2.211,53 			 1.106,19 	 3.394,30 	 4.152,13 
DILATAÇÃO ANAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
DILATACAO DE ESTENOSE ESOFAGICA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
DILATAÇÃO DE MEATO			 271,03 	 491,96 	 272,97 	 532,20 	 544,00 	 1.024,16 	 1.295,19 
DILATAÇÃO DO ESÔFAGO	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
DILATAÇÃO ENDOSCÓPICA DO PILORO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
DILATAÇÃO URETRAL	 2.389,07 	 5.910,25 	 682,45 	 1.560,97 	 272,97 	 532,20 	 3.344,49 	 8.003,42 	 8.685,87 
DISCECTOMIA	 3.259,98 	 6.445,32 	 544,00 	 1.024,16 			 3.803,98 	 7.469,48 	 8.013,48 
DUODENOPANCREATECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
DUODENOPANCREATECTOMIA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
DUODENOPANCREATECTOMIA EM ONCOLOGIA	 960,72 	 2.780,52 					 960,72 	 2.780,52 	 2.780,52 
DUODENOSCOPIA POR ENDOSCOPIA DIGESTIVA ALTA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
DUPLEX SCAN VENOSO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
ECOCARDIOGRAMA TRANSESOFÁGICO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
ECOESCLEROSE COM ESPUMA DENSA DE SAFENA ESQUERDA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
ELETEOCAUTERIZACAO 	 3.393,83 	 6.285,58 	 2.769,53 	 5.356,31 	 136,52 	 496,58 	 6.299,88 	 12.138,46 	 14.907,99 
ELETROCOAGULAÇÃO DE LESÃO VERRUCOSA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
ENDOMETRIOSE DE PAREDE VAGINAL			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
ENDONASAL	 1.496,49 	 2.520,58 	 225,86 	 308,00 	 545,94 	 1.064,39 	 2.268,29 	 3.892,97 	 4.118,84 
ENDONASAL+SEPTOPLASTIA+TURBINECTOMIA					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
ENDOSCOPIA + BRONCOSCOPIA 	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
ENDOSCOPIA + COLONO	 2.644,34 	 7.322,26 	 1.694,69 	 5.489,50 			 4.339,03 	 12.811,75 	 14.506,44 
ENDOSCOPIA COM LIGADURA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
ENDOSCOPIA DIGESTIVA  ALTA	 9.581,34 	 21.004,97 	 43.987,68 	 111.068,71 	 3.002,91 	 7.697,98 	 56.571,93 	 139.771,66 	 183.759,33 
ENDOSCOPIA DIGESTIVA ALTA	 5.718,67 	 11.337,64 	 13.416,01 	 25.244,39 	 1.543,60 	 2.744,78 	 20.678,28 	 39.326,81 	 52.742,82 
ENDOSCOPIA DIGESTIVA ALTA +  COLONOSCOPIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
ENDOSCOPIA DIGESTIVA ALTA + BIOPSIA	 348,35 	 1.182,76 	 732,76 	 1.710,50 			 1.081,11 	 2.893,26 	 3.626,02 
ENDOSCOPIA DIGESTIVA ALTA + GTT			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
ENDOSCOPIA DIGESTIVA ALTA +DILATAÇÃO			 650,42 	 1.443,92 			 650,42 	 1.443,92 	 2.094,34 
ENDOSCOPIA DIGESTIVA ALTA COM DILATAÇÃO			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
ENDOSCOPIA DIGESTIVA ALTA COM DILATAÇÃO ESOFÁGICA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
ENDOSCOPIA DIGESTIVA ALTA PARA PASSAGEM DE SNE PÓS-PILÓRICA			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
ENDOSCOPIA PARA TROCA DE GTT	 596,24 	 1.213,93 	 542,07 	 983,93 			 1.138,31 	 2.197,85 	 2.739,92 
ENTEROANASTOMOSE	 2.482,45 	 4.672,81 	 211,84 	 686,19 			 2.694,29 	 5.359,00 	 5.570,83 
ENTEROANASTOMOSE 	 1.596,23 	 4.839,08 					 1.596,23 	 4.839,08 	 4.839,08 
ENXERTO	 2.429,27 	 6.910,85 	 1.708,41 	 2.591,24 			 4.137,69 	 9.502,09 	 11.210,50 
ESCISÃO DE TUMOR DE GLÂNDULA SALIVAR	 451,73 	 615,99 	 225,86 	 308,00 			 677,59 	 923,99 	 1.149,86 
ESCLEROTERAPIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
ESFINCTEROTOMIA + EXERESE DE PLICOMA	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
ESOFAGECTOMIA	 3.910,97 	 6.406,30 	 1.115,29 	 1.918,18 			 5.026,26 	 8.324,47 	 9.439,76 
ESOFAGECTOMIA DISTAL  +GASTRECTOMIA TOTAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
ESOFAGOGASTRECTOMIA	 1.590,70 	 2.968,98 	 352,20 	 326,45 			 1.942,90 	 3.295,43 	 3.647,63 
ESOFAGOGASTRODUODENOSCOPIA + COLONOSCOPIA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
ESPLENECTOMIA	 5.702,59 	 14.469,84 	 3.912,02 	 11.721,98 	 272,97 	 532,20 	 9.887,58 	 26.724,01 	 30.636,03 
ESTAPEDECTOMIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EX. DE CICATRIZ MAMA ESQUERDA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EX. DE CORPO ESTRANHO	 451,73 	 615,99 			 136,52 	 496,58 	 588,24 	 1.112,57 	 1.112,57 
EX. DE CRAVO PLANTAR	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EX. DE FIBRO ADENOMA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EX. DE FIBROSE			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EX. DE GRANULOMA CEVICAL			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
EX. DE GRANULOMA EM OMBRO D	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EX. DE MAMA AXILARBILATERAL			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EX. DE MÚLTIPLOS TU			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EX. DE NEUROFIBROMA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EX. DE TU			 352,20 	 326,45 			 352,20 	 326,45 	 678,65 
EX. DE TU CERVICAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EX. DE TU DE PALPEBRA EXTENSO + RECONSTRUÇÃO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EX. DE TU DE PELE	 225,86 	 308,00 	 588,24 	 1.112,57 			 814,11 	 1.420,57 	 2.008,81 
EX. DE TU EM DORSO			 451,73 	 615,99 			 451,73 	 615,99 	 1.067,72 
EX. DE TU EM ORELHA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EX. DE TU EM PALPEBRA DIREITA					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
EX. DE TU EM PERNA ESQUERDA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EX. DE TU INTRACLAVICULAR			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EX. DE TU PRÉ ESTERNAL + ROTAÇÃO DE RETALHO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EX. DE TU SACRAL	 817,10 	 2.478,27 					 817,10 	 2.478,27 	 2.478,27 
EX. DE TUMOR EM COXA ESQUERDA	 225,86 	 308,00 			 225,86 	 308,00 	 451,73 	 615,99 	 615,99 
EX. DE TUMORES FACIAIS  RECIDIVADOS  ( CBC)					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
EX. DE XANTELASMA EM PALPÉBRA INFERIOR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EX. LESÃO CULTANEA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
EX. NÓDULO EM COURO CABELUDO	 272,97 	 532,20 	 272,97 	 532,20 			 545,94 	 1.064,39 	 1.337,36 
EXAME ESPECULAR + BIÓPSIA DE COLO UTERINO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXAME OFTALMOLÓGICO 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXAME OFTALMOLÓGICO SOB NARCOSE	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXAME OFTALMOLÓGICO SOB SEDAÇÃO 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXAME PROCTOLÓGICO COM ESTIMULADOR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXAME PROCTOLÓGICO COM ESTIMULADOR ELETRICO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXAME PROCTOLOGICO SOB SEDAÇÃO			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
EXAME SOB SEDAÇÃO	 211,84 	 686,19 	 136,52 	 496,58 			 348,35 	 1.182,76 	 1.319,28 
EXCISAO + SUTURA DE LESAO DE PELE 	 706,82 	 1.237,66 					 706,82 	 1.237,66 	 1.237,66 
EXCISÃO DE CISTO SALIVAR SUBMANDIBULAR	 1.873,34 	 3.332,39 			 136,52 	 496,58 	 2.009,85 	 3.828,96 	 3.828,96 
EXCISÃO DE FIBROADENOMA DE MAMA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
EXCISÃO DE HEMANGIOMA + SUTURA (LINFANGIOMA CERVICAL POSTERIOR) 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXCISÃO DUCTOS PRINCIPAIS A DIREITA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXCISÃO E BIÓPSIA DE ABSCESSO			 312,20 	 1.231,02 			 312,20 	 1.231,02 	 1.543,21 
EXCISAO E SUTURA			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
EXCISÃO E SUTURA DE NEVUS 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXERESE  DE NEVUS	 225,86 	 308,00 	 272,97 	 532,20 			 498,83 	 840,19 	 1.113,16 
EXERESE  DE QUELOIDE  EM ORELHA DIREITA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXERESE / CBC? CEC EM DORSO SUPERIOR DIREITO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
EXÉRESE + BIÓPSIA DE NÓDULO EM NÁDEGA D	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXÉRESE + SUTURA DE CISTO SEBÁCEO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXERESE + SUTURA DE LESÃO EM PÉ ESQUERDO 	 271,03 	 491,96 	 271,03 	 491,96 			 542,07 	 983,93 	 1.254,96 
